ID Pen Trait_1 Trait_2 Trait_3 Trait_4
F301_4 5 -0.0682546723738279 0.41473656976057 0 -0.0543337599569124
M1134_4 5 0.0374366190870963 -0.84786310654491 0 -0.383484083199428
M1200_4 5 0.166449854263006 -0.992987912830656 0 0.268333907219925
M1639_4 5 0.58922479301826 -0.66066647237415 0 -0.471778485463385
M1895_4 5 -0.397093586024281 0.342692926299608 0 0.188498032133255
M2300_4 5 0.125921533327289 -0.778531117308037 0 0.744491709584444
M465_4 5 0.769664107613494 0.613836501354179 0 0.8406918666937
M84_4 5 0.102476558571163 1.08587284444194 0 0.294040801446771
F1872_4 6 0.463953063399785 0.0691832330047237 0 -0.103737600149984
F2371_4 6 0.112727592373381 1.06145688048333 0 0.892194357832494
F2610_4 6 -0.0964066349129994 0.749468928212796 0 0.682004755163514
F375_4 6 1.12694520429433 0.349068064803665 0 -0.0397079762694276
F417_4 6 -0.0793979263255751 0.619405031626962 0 -0.287539968735117
F902_4 6 0.0497184222985264 -0.366120060671453 0 0.617992239914765
M1328_4 6 0.208383719095699 0.144373698495573 0 -0.828750942986399
M1522_4 6 0.405677578648708 -0.852464507156746 0 -0.044632495456175
M287_4 6 -0.138645784129328 0.168077221484473 0 0.302820680240994
M316_4 6 -0.0604296156342586 -0.0803064493115362 0 0.619481844263122
M557_4 6 0.163187715729288 0.554610441351094 0 0.593088070080415
M733_4 6 0.368549818555139 0.256822848943414 0 -0.506588420741459
M858_4 6 -0.203056497047341 -0.525996402930545 0 0.143293705077612
M990_4 6 0.20652557382566 0.339614233448124 0 -0.147844987746034
F1192_4 7 0.38242184176085 0.425423702102024 0 0.389696428909357
F2107_4 7 0.319057380206222 -0.678426998232327 0 0.525681710922647
F2251_4 7 0.1973248640732 -0.300590034345946 0 0.19533859888923
F2284_4 7 -0.104469701305017 -0.545210783705163 0 -0.0200653602494492
F2363_4 7 0.791864397847149 0.749179190067663 0 -0.321729551437864
F486_4 7 -0.692079766375156 0.187549711727421 0 0.0112257108710829
F714_4 7 -0.314997154825673 0.0905901408507879 0 0.612040388656646
F947_4 7 -0.500160893134597 -0.109399098802133 0 -0.254860502696244
F988_4 7 0.675229774359567 -0.093093939131203 0 0.174589525799929
M1167_4 7 0.466047428223701 0.288056661285619 0 -0.0711015485614708
